label	contrast	confound	smoothing	participant_id	frozen_status	normalized_rms_loo_influence	retained_er_median	retained_er_percentile_95	influence_to_retained_median_ratio	full_er_n	interpretation
exploratory_post_primary	gain_demean	C0	S0	sub-002	retained_ER	0.14610002727547405	0.11312535568193496	0.14580196296723086	1.2914878931850715	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-004	retained_ER	0.1354506586829166	0.11312535568193496	0.14580196296723086	1.1973501242617246	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-006	retained_ER	0.1057871477258168	0.11312535568193496	0.14580196296723086	0.9351320673258222	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-008	retained_ER	0.12016520860030161	0.11312535568193496	0.14580196296723086	1.0622305483676004	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-010	retained_ER	0.1094535908356182	0.11312535568193496	0.14580196296723086	0.9675425122495053	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-014	retained_ER	0.09915336096813761	0.11312535568193496	0.14580196296723086	0.8764910427943207	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-016	frozen_excluded_ER	0.15990083440330727	0.11312535568193496	0.14580196296723086	1.4134835947202409	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-018	frozen_excluded_ER	0.1252053623330053	0.11312535568193496	0.14580196296723086	1.1067842534350538	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-020	retained_ER	0.11686072293287092	0.11312535568193496	0.14580196296723086	1.033019717183815	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-022	retained_ER	0.14248407498611868	0.11312535568193496	0.14580196296723086	1.2595237745526224	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-024	retained_ER	0.13473167410330575	0.11312535568193496	0.14580196296723086	1.190994479452683	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-026	retained_ER	0.15454805651984804	0.11312535568193496	0.14580196296723086	1.3661663699372384	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-030	frozen_excluded_ER	0.23208010601968712	0.11312535568193496	0.14580196296723086	2.051530398474125	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-032	retained_ER	0.12572995457974115	0.11312535568193496	0.14580196296723086	1.111421518383955	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-036	retained_ER	0.11232242109529716	0.11312535568193496	0.14580196296723086	0.9929022580145928	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-038	retained_ER	0.1547790809296168	0.11312535568193496	0.14580196296723086	1.368208568243499	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-040	retained_ER	0.12737736584728485	0.11312535568193496	0.14580196296723086	1.125984224132926	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-044	retained_ER	0.10976031464069512	0.11312535568193496	0.14580196296723086	0.9702538743771905	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-046	retained_ER	0.11125203833607027	0.11312535568193496	0.14580196296723086	0.9834403407213874	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-050	retained_ER	0.11117718122299444	0.11312535568193496	0.14580196296723086	0.9827786224653469	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-052	retained_ER	0.10973135391769478	0.11312535568193496	0.14580196296723086	0.9699978687909472	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-054	retained_ER	0.10061211762420265	0.11312535568193496	0.14580196296723086	0.8893860887128193	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-056	retained_ER	0.10767426686969951	0.11312535568193496	0.14580196296723086	0.9518137310651926	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-058	retained_ER	0.10473994012035358	0.11312535568193496	0.14580196296723086	0.9258750126261883	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-060	retained_ER	0.12409743672685922	0.11312535568193496	0.14580196296723086	1.0969904667152917	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-062	retained_ER	0.1105423971166499	0.11312535568193496	0.14580196296723086	0.9771672888919143	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-064	retained_ER	0.1115202730971602	0.11312535568193496	0.14580196296723086	0.9858114692758391	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-066	retained_ER	0.11771681851831549	0.11312535568193496	0.14580196296723086	1.0405873891728568	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-068	retained_ER	0.10735318879951568	0.11312535568193496	0.14580196296723086	0.9489754808051309	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-070	retained_ER	0.11448759847036592	0.11312535568193496	0.14580196296723086	1.0120418873401031	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-072	retained_ER	0.1389118748566644	0.11312535568193496	0.14580196296723086	1.2279464141286875	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-074	retained_ER	0.1055459585045817	0.11312535568193496	0.14580196296723086	0.9330000146150823	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-076	retained_ER	0.13069232271672254	0.11312535568193496	0.14580196296723086	1.1552876181373444	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-080	retained_ER	0.11291781682194861	0.11312535568193496	0.14580196296723086	0.9981654081108936	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-082	retained_ER	0.10906274465464902	0.11312535568193496	0.14580196296723086	0.9640875292475681	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-084	retained_ER	0.11267408372289696	0.11312535568193496	0.14580196296723086	0.9960108681531414	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-088	frozen_excluded_ER	0.14280171649319298	0.11312535568193496	0.14580196296723086	1.2623316464497716	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-090	retained_ER	0.1263790578801459	0.11312535568193496	0.14580196296723086	1.1171594300704366	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-092	retained_ER	0.10114740316801521	0.11312535568193496	0.14580196296723086	0.8941178797475152	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-094	retained_ER	0.12509182221313647	0.11312535568193496	0.14580196296723086	1.1057805870228299	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-096	retained_ER	0.10985252536793105	0.11312535568193496	0.14580196296723086	0.9710689942650359	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-098	retained_ER	0.11542963644384352	0.11312535568193496	0.14580196296723086	1.0203692686579242	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-100	frozen_excluded_ER	0.13793745284693407	0.11312535568193496	0.14580196296723086	1.2193327659871513	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-102	retained_ER	0.09691074437477543	0.11312535568193496	0.14580196296723086	0.8566668700450428	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-104	retained_ER	0.11312535568193496	0.11312535568193496	0.14580196296723086	1.0	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-106	retained_ER	0.11140870267732565	0.11312535568193496	0.14580196296723086	0.9848252145218807	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-108	retained_ER	0.10882676993180919	0.11312535568193496	0.14580196296723086	0.9620015714053377	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-110	retained_ER	0.1453548665048661	0.11312535568193496	0.14580196296723086	1.2849008573599374	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-112	retained_ER	0.11611500600408829	0.11312535568193496	0.14580196296723086	1.026427765058782	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-114	retained_ER	0.12210271105661208	0.11312535568193496	0.14580196296723086	1.0793575880540698	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-116	retained_ER	0.13762255629212697	0.11312535568193496	0.14580196296723086	1.2165491587851331	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-118	retained_ER	0.1063908413280972	0.11312535568193496	0.14580196296723086	0.9404685685782714	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-120	retained_ER	0.13110176607656515	0.11312535568193496	0.14580196296723086	1.158906995573768	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S0	sub-124	retained_ER	0.12207307009061474	0.11312535568193496	0.14580196296723086	1.0790955692889692	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-002	retained_ER	0.10892985736664647	0.07385262960567042	0.10832759385029181	1.4749624752465524	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-004	retained_ER	0.0814557625746698	0.07385262960567042	0.10832759385029181	1.1029500643321115	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-006	retained_ER	0.07728413847050895	0.07385262960567042	0.10832759385029181	1.0464642746393835	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-008	retained_ER	0.0772934848196777	0.07385262960567042	0.10832759385029181	1.0465908286865264	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-010	retained_ER	0.07471344163871305	0.07385262960567042	0.10832759385029181	1.011655807486326	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-014	retained_ER	0.06451378489462707	0.07385262960567042	0.10832759385029181	0.8735475668109953	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-016	frozen_excluded_ER	0.09880792244808483	0.07385262960567042	0.10832759385029181	1.3379066253383392	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-018	frozen_excluded_ER	0.0768318203397964	0.07385262960567042	0.10832759385029181	1.0403396703683145	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-020	retained_ER	0.06825749751164654	0.07385262960567042	0.10832759385029181	0.9242392298839108	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-022	retained_ER	0.08279509176529568	0.07385262960567042	0.10832759385029181	1.1210852234696684	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-024	retained_ER	0.0980867341828766	0.07385262960567042	0.10832759385029181	1.3281413905855761	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-026	retained_ER	0.10742419857575985	0.07385262960567042	0.10832759385029181	1.454575133605152	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-030	frozen_excluded_ER	0.1531334669497548	0.07385262960567042	0.10832759385029181	2.0735005343397708	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-032	retained_ER	0.07866546943928934	0.07385262960567042	0.10832759385029181	1.0651681579832248	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-036	retained_ER	0.07186346924743145	0.07385262960567042	0.10832759385029181	0.973065815410231	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-038	retained_ER	0.11399908938365705	0.07385262960567042	0.10832759385029181	1.5436023062732511	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-040	retained_ER	0.08373985110219477	0.07385262960567042	0.10832759385029181	1.1338777176833958	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-044	retained_ER	0.06748644766341202	0.07385262960567042	0.10832759385029181	0.9137988453999532	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-046	retained_ER	0.07385262960567042	0.07385262960567042	0.10832759385029181	1.0	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-050	retained_ER	0.06176273579139281	0.07385262960567042	0.10832759385029181	0.8362970434657435	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-052	retained_ER	0.07750802759588475	0.07385262960567042	0.10832759385029181	1.0494958406996746	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-054	retained_ER	0.06470168057131018	0.07385262960567042	0.10832759385029181	0.8760917643255098	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-056	retained_ER	0.06113603210194477	0.07385262960567042	0.10832759385029181	0.8278111751521267	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-058	retained_ER	0.0700419496290577	0.07385262960567042	0.10832759385029181	0.9484015667829364	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-060	retained_ER	0.08183683782225404	0.07385262960567042	0.10832759385029181	1.1081100058212496	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-062	retained_ER	0.0712865987860948	0.07385262960567042	0.10832759385029181	0.9652547128886716	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-064	retained_ER	0.06771286701723783	0.07385262960567042	0.10832759385029181	0.9168646719661127	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-066	retained_ER	0.06821065358773233	0.07385262960567042	0.10832759385029181	0.9236049407033585	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-068	retained_ER	0.0610837749199508	0.07385262960567042	0.10832759385029181	0.8271035878627777	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-070	retained_ER	0.06884679929958976	0.07385262960567042	0.10832759385029181	0.9322186585256497	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-072	retained_ER	0.08269689196816384	0.07385262960567042	0.10832759385029181	1.1197555511525665	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-074	retained_ER	0.06684873805698052	0.07385262960567042	0.10832759385029181	0.9051639516956057	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-076	retained_ER	0.08423941726445089	0.07385262960567042	0.10832759385029181	1.140642082945994	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-080	retained_ER	0.07978885108221463	0.07385262960567042	0.10832759385029181	1.0803792838283504	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-082	retained_ER	0.07682658045359667	0.07385262960567042	0.10832759385029181	1.0402687197978648	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-084	retained_ER	0.06298069743100804	0.07385262960567042	0.10832759385029181	0.852788827795136	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-088	frozen_excluded_ER	0.09076374523036447	0.07385262960567042	0.10832759385029181	1.228984610500526	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-090	retained_ER	0.08547608142233172	0.07385262960567042	0.10832759385029181	1.1573871083362055	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-092	retained_ER	0.06439162470871337	0.07385262960567042	0.10832759385029181	0.8718934593463599	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-094	retained_ER	0.09426662772632065	0.07385262960567042	0.10832759385029181	1.276415318312279	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-096	retained_ER	0.0728710613695551	0.07385262960567042	0.10832759385029181	0.9867090956495886	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-098	retained_ER	0.0725975540532855	0.07385262960567042	0.10832759385029181	0.9830056755042266	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-100	frozen_excluded_ER	0.07896227631550387	0.07385262960567042	0.10832759385029181	1.0691870653369548	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-102	retained_ER	0.06525039429790211	0.07385262960567042	0.10832759385029181	0.8835216111640278	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-104	retained_ER	0.07740383608034167	0.07385262960567042	0.10832759385029181	1.0480850376436506	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-106	retained_ER	0.0649216474132436	0.07385262960567042	0.10832759385029181	0.8790702207881695	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-108	retained_ER	0.07173650042944582	0.07385262960567042	0.10832759385029181	0.9713465967627222	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-110	retained_ER	0.11133094242156687	0.07385262960567042	0.10832759385029181	1.507474317651363	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-112	retained_ER	0.06570468605494686	0.07385262960567042	0.10832759385029181	0.8896729392815289	54	exploratory_descriptive_not_primary
exploratory_post_primary	gain_demean	C0	S1	sub-114	retained_ER	0.0660275979610699	0.07385262960567042	0.10832759385029181	0.8940453212515034	54	exploratory_descriptive_not_primary
