contrast	scope	strategy	region	n_subjects	d_raw	d_aligned	aligned_ratio	scale_attenuation	pearson_r	delta_mean_square	edge_enrichment	core_ratio	aggregation_attenuation
gain_demean	full	ivw	common	108	0.9039334139965925	0.8958607730836075	0.9910694296858734	0.008930570314126585	0.440967449956665	1.291072605354347e-05	3.026213522726853	1.000431797188905	0.0
gain_demean	full	ivw	core	108	0.9043237299037136	0.8973265618789014	0.9922625407324464	0.007737459267553648	0.4374736460179597	1.1197644156604262e-05			
gain_demean	full	ivw	periphery	108	0.9023592899118539	0.8886309871402688	0.9847862121828145	0.01521378781718552	0.45726997567285205	3.388646216939915e-05			
gain_demean	full	equal	common	108	0.9308517307286417	0.9238948688113511	0.9925263479804189	0.007473652019581056	0.37932736355784025	2.0306839329164508e-05	4.005113318338792	0.9964248222762428	-0.02977909248097621
gain_demean	full	equal	core	108	0.9275237703568199	0.921242264754209	0.9932276607852386	0.0067723392147613914	0.3850567082313539	1.6551392306402825e-05			
gain_demean	full	equal	periphery	108	0.9412525632225447	0.9310794862820445	0.989191979562137	0.010808020437862997	0.36361989960976787	6.629020176342418e-05			
gain_demean	full	stabilized	common	108	0.9039343672187586	0.8958621355768033	0.9910698918697027	0.008930108130297265	0.4409648942095639	1.2910719110116628e-05	3.0261918651865116	1.0004306424322567	-1.054526972188441e-06
gain_demean	full	stabilized	core	108	0.9043236397132581	0.8973263913326988	0.992262451103481	0.007737548896519009	0.4374741233712245	1.1197654015499196e-05			
gain_demean	full	stabilized	periphery	108	0.9023644262860554	0.8886394322241195	0.9847899654927387	0.015210034507261327	0.4572541896596829	3.388624949087674e-05			
gain_demean	EI	ivw	common	54	0.845644972154002	0.8408935489839721	0.994381302642967	0.00561869735703302	0.5286156801087794	1.0955461409790625e-05	3.0754093086625116	1.019995299402917	0.0
gain_demean	EI	ivw	core	54	0.8625538965607928	0.8601121198806212	0.9971691314711955	0.002830868528804542	0.5007641221808656	9.471304513974227e-06			
gain_demean	EI	ivw	periphery	54	0.7870066700190833	0.7638853701613704	0.9706212148657491	0.02937878513425085	0.5922640992789836	2.91281380674536e-05			
gain_demean	EI	equal	common	54	0.883278549532702	0.8783744462516814	0.994447840623306	0.005552159376693955	0.4635093571426435	1.6519452332663044e-05	4.595534660824653	1.0066222989071776	-0.04450280982909516
gain_demean	EI	equal	core	54	0.8891278841060057	0.8864726944325035	0.997013714538745	0.0029862854612550116	0.4515196722108466	1.2992353927811345e-05			
gain_demean	EI	equal	periphery	54	0.8682398904073864	0.8506986519562615	0.979796783533069	0.020203216466931018	0.46959129974357977	5.9706812800958355e-05			
gain_demean	EI	stabilized	common	54	0.8456406533962169	0.8408881926548765	0.9943800469830136	0.005619953016986368	0.5286237368616722	1.09555274575095e-05	3.075525952470937	1.0199969884637892	5.107057840292306e-06
gain_demean	EI	stabilized	core	54	0.8625509197866921	0.8601088920164314	0.9971688305997464	0.0028311694002536303	0.5007693582220253	9.47128950064979e-06			
gain_demean	EI	stabilized	periphery	54	0.7870003292745724	0.7638721999946834	0.9706123003770434	0.02938769962295662	0.5922795532337015	2.912919666261393e-05			
gain_demean	ER	ivw	common	54	0.8807183305688951	0.8729685249523215	0.9912005855361637	0.008799414463836253	0.48773815498270773	4.168172241902123e-05	3.031958610292392	1.0016951425242315	0.0
gain_demean	ER	ivw	core	54	0.8822112736629127	0.8761074752263842	0.9930812509216916	0.006918749078308362	0.4820036702453537	3.6137515811112596e-05			
gain_demean	ER	ivw	periphery	54	0.8747653402617809	0.8567045219082547	0.979353527715077	0.020646472284923	0.5014600548094807	0.0001095674522180803			
gain_demean	ER	equal	common	54	0.9135851492630488	0.9070801565227096	0.9928797083166396	0.007120291683360369	0.4208796784437694	6.63076742138479e-05	3.988616688223667	0.997412621888501	-0.037318195333715165
gain_demean	ER	equal	core	54	0.911221359044855	0.906039357773619	0.994313125762693	0.00568687423730696	0.4231335660593418	5.4099981524635885e-05			
gain_demean	ER	equal	periphery	54	0.9209581895298515	0.9072024392688774	0.9850636539015996	0.014936346098400444	0.4073963008670126	0.00021578408914175475			
gain_demean	ER	stabilized	common	54	0.880716370086367	0.872965886839987	0.9911997965410589	0.008800203458941058	0.48774282659691254	4.168163056248008e-05	3.031970891530647	1.0016952223731934	2.2260040015709137e-06
gain_demean	ER	stabilized	core	54	0.8822093801813751	0.8761050196819187	0.9930805989637047	0.006919401036295292	0.48200817999141254	3.613740712054213e-05			
gain_demean	ER	stabilized	periphery	54	0.874763140029604	0.8567011338273742	0.9793521178754532	0.020647882124546824	0.5014616907265103	0.00010956756648487606			
gain_demean	split_A	ivw	common	54	0.9320088473853131	0.9235868553087827	0.9909636135964184	0.00903638640358162	0.37367057412947235	2.6715365459307132e-05	3.0549828109470307	0.9982608871853104	0.0
gain_demean	split_A	ivw	core	54	0.9303879788554211	0.92232400526198	0.9913326764997957	0.008667323500204271	0.3750450299654706	2.312702088335592e-05			
gain_demean	split_A	ivw	periphery	54	0.9385913994024543	0.9283991124716775	0.9891408690328234	0.010859130967176611	0.3687801356623228	7.065265126706536e-05			
gain_demean	split_A	equal	common	54	0.9539023819255975	0.9473727024694765	0.9931547718300694	0.006845228169930606	0.31005525202330847	4.5321439914762924e-05	3.8106152013927947	0.997110762415043	-0.023490693893845727
gain_demean	split_A	equal	core	54	0.9511463313113581	0.9449346672942441	0.9934692866779502	0.006530713322049797	0.31556044190565535	3.7387422179333945e-05			
gain_demean	split_A	equal	periphery	54	0.9629231445779871	0.9545672042202201	0.9913223184998539	0.00867768150014614	0.2938614654153306	0.00014246907929746006			
gain_demean	split_A	stabilized	common	54	0.9320073833331114	0.9235846245036305	0.9909627767117479	0.009037223288252072	0.37367608518447515	2.671528469060764e-05	3.0550152457956017	0.9982607657099036	1.5708565490601956e-06
gain_demean	split_A	stabilized	core	54	0.9303864041333955	0.922321702543371	0.9913318793630306	0.008668120636969423	0.3750505216867897	2.3126901934189717e-05			
gain_demean	split_A	stabilized	periphery	54	0.9385903202584609	0.9283971178958872	0.9891398812212694	0.01086011877873061	0.36878569423018603	7.065303799696937e-05			
gain_demean	split_B	ivw	common	54	0.9255090357254308	0.9166995346984288	0.9904814532468644	0.00951854675313557	0.39954520164862295	2.3997049839451987e-05	3.0144420606539364	1.0001490602838377	0.0
gain_demean	split_B	ivw	core	54	0.9256469923649904	0.9175412720488059	0.9912431840830869	0.00875681591691313	0.39757947444348785	2.0829016148917025e-05			
gain_demean	split_B	ivw	periphery	54	0.9249492993481789	0.9126337429982544	0.9866851552202878	0.013314844779712232	0.4087068998767731	6.278786236133556e-05			
gain_demean	split_B	equal	common	54	0.9428688735366247	0.9349785910210103	0.9916316226602978	0.008368377339702193	0.35456791211825095	3.433282966172505e-05	4.265300682936192	0.9953997669381032	-0.01875707004587701
gain_demean	split_B	equal	core	54	0.9385314569715482	0.9305723978374245	0.9915196671619234	0.008480332838076587	0.3659574892444207	2.7542475766095342e-05			
gain_demean	split_B	equal	periphery	54	0.9556625529119134	0.9475223339969864	0.9914821200327211	0.00851787996727893	0.3195946967121806	0.00011747694069487998			
gain_demean	split_B	stabilized	common	54	0.9255113460884191	0.9167032738921772	0.9904830208365696	0.009516979163430417	0.3995365829348296	2.3997036456965635e-05	3.01436685772522	1.00014825895846	-2.4963159723778716e-06
gain_demean	split_B	stabilized	core	54	0.9256485614366332	0.9175437422473537	0.9912441724354861	0.008755827564513874	0.3975737338740461	2.082910718873606e-05			
gain_demean	split_B	stabilized	periphery	54	0.9249546001189521	0.9126430886074997	0.9866896045385696	0.013310395461430424	0.4086862020590696	6.278657038573211e-05			
loss_demean	full	ivw	common	108	0.9101287453943369	0.9039828405840157	0.9932472138239538	0.006752786176046244	0.4023931437233257	2.1048430342994288e-05	2.985364847723497	0.9979465885795943	0.0
loss_demean	full	ivw	core	108	0.9082598766345046	0.9027658988406773	0.9939510949066859	0.0060489050933141275	0.4022746040764595	1.830454741569934e-05			
loss_demean	full	ivw	periphery	108	0.9179163924014898	0.9075742726877499	0.9887330482390859	0.011266951760914079	0.40586703952576636	5.464575240831679e-05			
loss_demean	full	equal	common	108	0.9372822940529647	0.9320054011739011	0.9943700068671462	0.005629993132853839	0.3439058848108796	3.310928069847239e-05	4.128987706471762	0.9940167796836266	-0.02983484347246157
loss_demean	full	equal	core	108	0.9316743275890099	0.9265106089852687	0.9944575926900294	0.005542407309970576	0.35508356111528283	2.678204696270088e-05			
loss_demean	full	equal	periphery	108	0.9545276184608882	0.9483303357608802	0.9935074872846522	0.006492512715347787	0.30862614405762345	0.00011058274266314133			
loss_demean	full	stabilized	common	108	0.9101277015091745	0.9039817521551904	0.9932471571365282	0.006752842863471775	0.40239416018134455	2.104832049972158e-05	2.9853048164269422	0.9979471372909173	1.1469642812178549e-06
loss_demean	full	stabilized	core	108	0.9082593342902432	0.9027653528382498	0.993951087267067	0.006048912732932954	0.40227545058936587	1.8304524042536548e-05			
loss_demean	full	stabilized	periphery	108	0.9179133838649655	0.9075698881508264	0.9887315122581755	0.01126848774182454	0.4058702599589835	5.464458378658712e-05			
loss_demean	EI	ivw	common	54	0.8948933297930314	0.8900721341533341	0.9946125471280333	0.005387452871966736	0.44021125359673674	4.2079042520978256e-05	2.8513362984609505	0.9994625643008757	0.0
loss_demean	EI	ivw	core	54	0.8944123821706923	0.8906332087713332	0.995774685732562	0.004225314267437996	0.4352804158421881	3.6918497322931386e-05			
loss_demean	EI	ivw	periphery	54	0.8969675101314653	0.8844022235427162	0.9859913693117967	0.01400863068820335	0.4651749389671705	0.0001052670515015077			
loss_demean	EI	equal	common	54	0.9253537212954966	0.9209360724920778	0.995225989044239	0.004774010955761021	0.3767474181290982	6.619683826074812e-05	3.965360439302286	0.9946589697144331	-0.034038013792671906
loss_demean	EI	equal	core	54	0.9204113790451954	0.9166198011901606	0.9958805617342887	0.004119438265711262	0.3826909257823985	5.408703886506643e-05			
loss_demean	EI	equal	periphery	54	0.9411326890295033	0.9330568226555055	0.9914189928071401	0.008581007192859924	0.3592963560263135	0.00021447460419453965			
loss_demean	EI	stabilized	common	54	0.8948921211191111	0.8900709203992773	0.9946125341747286	0.005387465825271387	0.4402123690532401	4.207846749826407e-05	2.8511998423819414	0.9994632325070331	1.3506346288050253e-06
loss_demean	EI	stabilized	core	54	0.8944117721187821	0.8906325592434666	0.9957746387143778	0.004225361285622231	0.43528150731105475	3.691832653836892e-05			
loss_demean	EI	stabilized	periphery	54	0.896963808225932	0.8843972583207648	0.9859899030597209	0.014010096940279104	0.46518172083459125	0.00010526152680720251			
loss_demean	ER	ivw	common	54	0.9360912849777395	0.9265710678475831	0.9898298197163722	0.010170180283627817	0.366059716048085	4.126226791369485e-05	3.0827542401366514	1.0011075084139933	0.0
loss_demean	ER	ivw	core	54	0.9371280139521182	0.9288391186991019	0.9911550021666091	0.008844997833390877	0.3608166468781751	3.565529659274787e-05			
loss_demean	ER	ivw	periphery	54	0.9320071981637363	0.9161572274802813	0.9829937250327218	0.017006274967278245	0.3838591377972426	0.0001099165167546234			
loss_demean	ER	equal	common	54	0.9552415034519148	0.9475295721025149	0.991926720811929	0.008073279188070992	0.313589278177416	6.466293258364311e-05	4.3954227999455115	0.9970580208918789	-0.020457639956161566
loss_demean	ER	equal	core	54	0.9524312029055491	0.9449560600480796	0.992151514109717	0.007848485890282975	0.32159236204356795	5.146823623293369e-05			
loss_demean	ER	equal	periphery	54	0.9632033625935567	0.9541600077318714	0.9906111676797569	0.009388832320243123	0.2864994341590098	0.00022622465901121845			
loss_demean	ER	stabilized	common	54	0.9360905155703139	0.9265696696135208	0.9898291395987572	0.01017086040124282	0.3660630971876332	4.126230701996328e-05	3.082770136885489	1.0011073181494525	8.219363196726448e-07
loss_demean	ER	stabilized	core	54	0.9371270655877352	0.9288374846516841	0.9911542615292495	0.008845738470750542	0.36082070143742623	3.5655293404791263e-05			
loss_demean	ER	stabilized	periphery	54	0.9320071489172608	0.9161570002277084	0.9829935331419228	0.017006466858077163	0.3838593982388051	0.00010991707373018065			
loss_demean	split_A	ivw	common	54	0.9284754876159894	0.9198231264127459	0.9906811097130201	0.009318890286979853	0.35180653639480464	4.2882702188434874e-05	3.1771778671462796	0.9981579820785127	0.0
loss_demean	split_A	ivw	core	54	0.9267652191281391	0.9185036558270191	0.9910855919810067	0.008914408018993347	0.3542668822960901	3.682865234843102e-05			
loss_demean	split_A	ivw	periphery	54	0.9351563261950507	0.9231660587055843	0.9871783282071649	0.01282167179283511	0.3370315719965757	0.00011701117911825989			
loss_demean	split_A	equal	common	54	0.9504327407504533	0.9431806521938804	0.9923696983009584	0.007630301699041553	0.3002561866997531	6.7318814781608e-05	4.263918232503791	0.9954064869977729	-0.02364871601601748
