record_type	contrast	confound	qc	smoothing	n_subjects	df	fdr_rejected_voxels	fdr_rejected_proportion	fdr_positive_voxels	fdr_negative_voxels	fdr_any_rejection	cell_a	cell_b	differing_axes	n_differing_axes	pearson_r	pearson_r_ci_lower	pearson_r_ci_upper	cosine_similarity	cosine_similarity_ci_lower	cosine_similarity_ci_upper	normalized_rms_difference	normalized_rms_difference_ci_lower	normalized_rms_difference_ci_upper	sign_agreement	fdr_jaccard	bootstrap_replicates	bootstrap_seed	notes
cell_bh_fdr_summary	loss_demean	C0	Q0_all	S0	108.0	106.0	33.0	0.0001492429313120715	0.0	33.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C0	Q1_lenient	S0	106.0	104.0	29.0	0.0001311528790318204	0.0	29.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C0	Q2_strict	S0	103.0	101.0	27.0	0.00012210785289169487	0.0	27.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C0	Q0_all	S1	108.0	106.0	7157.0	0.032367626042439264	165.0	6992.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C0	Q1_lenient	S1	106.0	104.0	5038.0	0.02278442084697625	207.0	4831.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C0	Q2_strict	S1	103.0	101.0	3709.0	0.016774000976862824	153.0	3556.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C0	Q0_all	S2	108.0	106.0	19454.0	0.08798096926500118	397.0	19057.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C0	Q1_lenient	S2	106.0	104.0	15069.0	0.06814974945277592	917.0	14152.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C0	Q2_strict	S2	103.0	101.0	12032.0	0.05441487725899528	794.0	11238.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C1	Q0_all	S0	108.0	106.0	21.0	9.497277447131822e-05	0.0	21.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C1	Q1_lenient	S0	106.0	104.0	21.0	9.497277447131822e-05	0.0	21.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C1	Q2_strict	S0	103.0	101.0	25.0	0.00011306282675156931	0.0	25.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C1	Q0_all	S1	108.0	106.0	6611.0	0.029898333906184987	172.0	6439.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C1	Q1_lenient	S1	106.0	104.0	6052.0	0.027370249100019898	171.0	5881.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C1	Q2_strict	S1	103.0	101.0	4912.0	0.022214584200148338	153.0	4759.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C1	Q0_all	S2	108.0	106.0	20029.0	0.09058141428028726	460.0	19569.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C1	Q1_lenient	S2	106.0	104.0	18634.0	0.0842725085475497	595.0	18039.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C1	Q2_strict	S2	103.0	101.0	16091.0	0.07277175781038007	605.0	15486.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C2	Q0_all	S0	108.0	106.0	12.0	5.427015684075327e-05	0.0	12.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C2	Q1_lenient	S0	106.0	104.0	15.0	6.783769605094158e-05	0.0	15.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C2	Q2_strict	S0	103.0	101.0	17.0	7.688272219106713e-05	0.0	17.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C2	Q0_all	S1	108.0	106.0	4131.0	0.018682501492429313	223.0	3908.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C2	Q1_lenient	S1	106.0	104.0	3687.0	0.016674505689321443	317.0	3370.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C2	Q2_strict	S1	103.0	101.0	3198.0	0.014462996798060746	290.0	2908.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C2	Q0_all	S2	108.0	106.0	15472.0	0.06997232222001122	610.0	14862.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C2	Q1_lenient	S2	106.0	104.0	14111.0	0.06381718193165578	1243.0	12868.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	loss_demean	C2	Q2_strict	S2	103.0	101.0	12535.0	0.05668970133323685	1177.0	11358.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
pairwise_cell_stability	gain_demean											C0/Q0/S0	C0/Q1/S0	Q	1.0	0.9686391464216833	0.8474439909282068	0.999650862827412	0.9686807751295315	0.8468102464979429	0.9996512658398904	0.25001911382521314	0.02676814418972489	0.5344292572673356	0.9248720128801172	0.8181818181818182	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C0/Q2/S0	Q	1.0	0.9425230942212276	0.7937282677206886	0.9948469690430302	0.9427968009445045	0.7947893745591801	0.9948870733581195	0.3407726930980494	0.10514200576731295	0.6287390425571667	0.8954756779247092	0.4482758620689655	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C0/Q0/S1	S	1.0	0.6005182005016545	0.5586102261632342	0.5958422304244351	0.6020163978240697	0.5585577597735414	0.6012347463493659	0.8226668712182745	0.825512856753393	0.8609307685833312	0.7189167676694586	0.001971954425942156	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C0/Q1/S1	Q:S	2.0	0.5871092614939799	0.4887715443028453	0.5926072921011077	0.5900053803123633	0.49210785755149117	0.5991307406357886	0.8281740420985031	0.8263069681962614	0.8893417037004594	0.7133088514625807	0.0018285249898415277	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C0/Q2/S1	Q:S	2.0	0.5777367909863821	0.46526575933705583	0.5891192450630099	0.578761029912179	0.46684584880956986	0.5931032445246017	0.8313243686552819	0.8267971526664943	0.8950722921832267	0.7075833499158812	0.0014565463667260074	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C0/Q0/S2	S	1.0	0.4388779725318118	0.3582994784255276	0.42623670252975243	0.44276161337085396	0.36075426054016163	0.43773684203368857	0.9041437648164016	0.9070477080604616	0.9399131881735459	0.6540458401924781	0.0008497450764770568	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C0/Q1/S2	Q:S	2.0	0.4328115292608109	0.3299279385762292	0.4238303101032032	0.4379239908784855	0.3345505103275344	0.4357528816908789	0.9059274251102208	0.9082711331785998	0.9474969692532283	0.6521418621899817	0.0008687677976736329	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C0/Q2/S2	Q:S	2.0	0.42746069316266233	0.31496435459592	0.4193021127429525	0.4312132842500269	0.31799966604129226	0.4315271385612563	0.9071061657976692	0.9083704778633944	0.9510587339217631	0.6505544601023897	0.0006924408540103866	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C1/Q0/S0	C	1.0	0.9508573212688587	0.9331443933618403	0.9579623077755526	0.9509944570515858	0.9328527197197101	0.9579789864881221	0.31364686103516154	0.2915563220595024	0.36479212742091593	0.9060357459433058	0.46153846153846156	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C1/Q1/S0	C:Q	2.0	0.923466453137515	0.8042175416939261	0.9550773410930765	0.9225987638393914	0.8027498592970007	0.9549439649865905	0.3935403530748721	0.3033040338306065	0.6082917230818758	0.8800177282512347	0.391304347826087	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C1/Q2/S0	C:Q	2.0	0.9008312079770836	0.752089483970843	0.9496684266615407	0.9005964281511745	0.7506596925395226	0.9494959021297905	0.4503470727684373	0.32597877009431525	0.68192005651474	0.862461332513251	0.37037037037037035	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C1/Q0/S1	C:S	2.0	0.5855625196427361	0.5353982548451454	0.5815802003752636	0.5884544885931822	0.5344288121241425	0.5890105724841215	0.8291575689278683	0.832714663810762	0.8698409091374442	0.7139465258054596	0.0020147750167897917	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C1/Q1/S1	C:Q:S	3.0	0.5738609332926455	0.4745221878872717	0.578888304341998	0.5759119786734155	0.4749131505661752	0.5869003474182519	0.8351300678634385	0.8345595998299536	0.8942582792454014	0.7086551855134862	0.0018346753643869126	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C1/Q2/S1	C:Q:S	3.0	0.5672663045022057	0.45313607566731834	0.5758102599122956	0.5702574973174793	0.4545511010341457	0.5838361562677772	0.8366548311807661	0.8342468851153366	0.9007701000148912	0.7052406881455887	0.0016366612111292963	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C1/Q0/S2	C:S	2.0	0.43291644693761044	0.3495965245232023	0.42039560990856817	0.43793719232447725	0.3491249695578641	0.4325235455190352	0.905851622994029	0.9096765382664268	0.9431838263484311	0.6529197344380325	0.0009356481962781994	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C1/Q1/S2	C:Q:S	3.0	0.427880948952098	0.3239365964352971	0.41792748780311073	0.4312976907520476	0.32505422071526285	0.42942329496826	0.9083650471307627	0.911379271986334	0.9497487780530923	0.6505499375893197	0.0008825259854873505	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C1/Q2/S2	C:Q:S	3.0	0.4240337081157751	0.3105329553004697	0.41427074944948794	0.42879412122627997	0.31427747801355627	0.4279881591776789	0.9086071566813817	0.9110311620149343	0.9521621548121945	0.6494781019917147	0.0008021032930796311	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
