contrast	record_type	component	point_estimate	sum_squares	sum_squares_per_voxel	share	ci_coverage	ci_lower	ci_upper	interval_type	material_interaction	bootstrap_replicates	rng	seed	partition_relative_error
gain_demean	anova_total	total_across_cell	16.657003222934637	16.657003222934637	7.533151478379963e-05	1.0				not_applicable	False	2000	PCG64	20260815	6.398594569356004e-16
gain_demean	anova_term	C	0.043072790825932294	0.7174636156083437	3.2447385788832275e-06	0.043072790825932294	0.95	0.03501493585544092	0.05751183746803299	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	6.398594569356004e-16
gain_demean	anova_term	Q	0.02429585360631528	0.40469611182434173	1.8302434551291709e-06	0.02429585360631528	0.95	0.0021485230306742707	0.08196656257264774	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	6.398594569356004e-16
gain_demean	anova_term	S	0.857813307166546	14.288599022149377	6.462037583055671e-05	0.857813307166546	0.95	0.7418430870941857	0.9081045658179485	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	6.398594569356004e-16
gain_demean	anova_term	C:Q	0.0019243098653619964	0.03205323562925969	1.449611770711287e-07	0.0019243098653619964	0.95	0.00015858052842001016	0.006157216992469953	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	6.398594569356004e-16
gain_demean	anova_term	C:S	0.046401444035952956	0.7729090028556896	3.495491067384041e-06	0.046401444035952956	0.95	0.037806858097515696	0.0578516113953497	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	6.398594569356004e-16
gain_demean	anova_term	Q:S	0.024730646298502294	0.4119384550994093	1.862997047248545e-06	0.024730646298502294	0.95	0.0021683759683997607	0.08214243246278762	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	6.398594569356004e-16
gain_demean	anova_term	C:Q:S	0.0017616482013897868	0.029343779768226684	1.3270762752684872e-07	0.0017616482013897868	0.95	0.00015508118299381	0.005692658783409987	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	6.398594569356004e-16
gain_demean	shapley_factor	C	0.0678228838437197	1.1297259947735607	5.1092005769530956e-06	0.0678228838437197	0.95	0.05682999487218328	0.08654017257947968	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	6.398594569356004e-16
gain_demean	shapley_factor	Q	0.038210547755377355	0.6364732171114185	2.8784584431312907e-06	0.038210547755377355	0.95	0.0033811081678264444	0.127716213970939	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	6.398594569356004e-16
gain_demean	shapley_factor	S	0.8939665684009036	14.890804011049669	6.734385576371528e-05	0.8939665684009036	0.95	0.8061584004259573	0.9314004615773211	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	6.398594569356004e-16
gain_demean	primary_ratio	C_over_S	0.07586736041487427				0.975	0.06086956604554269	0.10253380177696679	Bonferroni_simultaneous_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	6.398594569356004e-16
gain_demean	primary_ratio	Q_over_S	0.04274270325760286				0.975	0.002440175907399946	0.20703793829054767	Bonferroni_simultaneous_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	6.398594569356004e-16
gain_demean	primary_ratio	C_plus_Q_over_S	0.11861006367247715				0.95	0.07365203396349689	0.24045100917311643	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	6.398594569356004e-16
loss_demean	anova_total	total_across_cell	26.670108453610553	26.670108453610553	0.00012061591406144536	1.0				not_applicable	False	2000	PCG64	20260815	3.9962870998219066e-16
loss_demean	anova_term	C	0.05146336841025929	1.3725336168897304	6.207301221484336e-06	0.05146336841025929	0.95	0.039855988283678416	0.06513554717112954	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	3.9962870998219066e-16
loss_demean	anova_term	Q	0.01759018632511285	0.46913217700997695	2.121656402114623e-06	0.01759018632511285	0.95	0.001482892182697367	0.058591594215679145	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	3.9962870998219066e-16
loss_demean	anova_term	S	0.8619015291264713	22.987007258135765	0.00010395904076654682	0.8619015291264713	0.95	0.7822805569159272	0.904570805942557	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	3.9962870998219066e-16
loss_demean	anova_term	C:Q	0.001504888805972507	0.04013554766591125	1.8151353889321102e-07	0.001504888805972507	0.95	0.00012506211382867335	0.005107496435229436	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	3.9962870998219066e-16
loss_demean	anova_term	C:S	0.0493232171571249	1.3154555508615058	5.949164921857784e-06	0.0493232171571249	0.95	0.04076262014557213	0.060432806923878646	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	3.9962870998219066e-16
loss_demean	anova_term	Q:S	0.016915045468117684	0.4511260971324523	2.040223670527923e-06	0.016915045468117684	0.95	0.001534550650735118	0.05695523573819779	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	3.9962870998219066e-16
loss_demean	anova_term	C:Q:S	0.0013017647069418074	0.03471820591522056	1.5701354002071565e-07	0.0013017647069418074	0.95	0.00011141785251262516	0.004287496702554891	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	3.9962870998219066e-16
loss_demean	shapley_factor	C	0.07731134296078859	2.0619019014585125	9.324978298533406e-06	0.07731134296078859	0.95	0.06217872529694824	0.09559710653188846	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	3.9962870998219066e-16
loss_demean	shapley_factor	Q	0.027234075031138547	0.7263357347142322	3.2848628534987617e-06	0.027234075031138547	0.95	0.0023384678418348543	0.09134845858560901	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	3.9962870998219066e-16
loss_demean	shapley_factor	S	0.8954545820080733	23.881870817437818	0.00010800607290941324	0.8954545820080733	0.95	0.8341071820046292	0.9286569951303759	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	3.9962870998219066e-16
loss_demean	primary_ratio	C_over_S	0.08633753683790024				0.975	0.06617926428145507	0.1118551351330884	Bonferroni_simultaneous_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	3.9962870998219066e-16
loss_demean	primary_ratio	Q_over_S	0.030413686610509753				0.975	0.0017306607854377983	0.1353644461552303	Bonferroni_simultaneous_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	3.9962870998219066e-16
loss_demean	primary_ratio	C_plus_Q_over_S	0.11675122344841				0.95	0.07682385002309683	0.1988866943045914	paired_cohort_stratified_Bayesian_bootstrap_percentile	False	2000	PCG64	20260815	3.9962870998219066e-16
