transition	contrast	confound	smoothing	metric	base_qc	observed_target_qc	removed_ei	removed_er	replicates	rng	seed	observed	null_median	null_percentile_2p5	null_percentile_97p5	observed_to_null_median_ratio	upper_tail_empirical_p	interpretation
Q1_to_Q2	gain_demean	C0	S0	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.029091180091633806	0.020131611119798887	0.015571107776797228	0.026969087660075105	1.445049773638009	0.012987012987012988	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C0	S1	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.0729084414730195	0.05848327086289887	0.049108521427294036	0.08064804825341267	1.246654648368373	0.060939060939060936	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C0	S1	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.013693920266863224	0.009599626462668986	0.006792337505535123	0.015107898925211692	1.4265055333263352	0.06693306693306693	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C0	S2	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.05237811262411148	0.03955853257241149	0.03131867102239177	0.06305940388807817	1.3240661171703951	0.08691308691308691	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C0	S2	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.00946970124700286	0.006370551761891441	0.004181005027080628	0.011509623212095848	1.4864805437498352	0.08391608391608392	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C1	S0	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.22584815862322374	0.20453943208884634	0.18472997124478	0.23084244122397188	1.1041790637470894	0.06393606393606394	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C1	S0	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.024819012863420697	0.0201186831633845	0.016160699205772823	0.025881354095149668	1.2336300871117987	0.061938061938061936	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C1	S1	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.06514978926662099	0.05841888021838497	0.04964149950709435	0.0749034355619914	1.1152180429182164	0.18281718281718282	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C1	S1	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.012143610720416809	0.009407090351478076	0.006859997499971143	0.014477424987098315	1.290899764613057	0.11988011988011989	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C1	S2	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.04484387164230023	0.03928095896806477	0.03128935599093463	0.057283384454665014	1.141618555666069	0.23276723276723277	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C1	S2	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.008293877118561221	0.006148189690310113	0.004104639964221818	0.011212243861167133	1.3489949946783246	0.13886113886113885	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C2	S0	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.21275820071795326	0.19670139193108865	0.1815149162643816	0.2139257199859985	1.081630377036121	0.03796203796203796	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C2	S0	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.02347340141473786	0.01993079385964497	0.01671189104208159	0.023784683668975477	1.177745431518702	0.04095904095904096	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C2	S1	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.06203906619452334	0.05494301751010651	0.048415208042311135	0.06855683392670582	1.1291528752149724	0.12287712287712288	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C2	S1	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.011052398696156818	0.008669966099179471	0.006633602735153593	0.012662374581876084	1.2747914547443064	0.0989010989010989	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C2	S2	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.04455899573182635	0.036999492911096415	0.030137478122585947	0.05154472262619331	1.2043136871873934	0.12787212787212787	sample_composition_calibration_not_causal_QC
Q1_to_Q2	gain_demean	C2	S2	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.0076655230123162665	0.0055186701592083165	0.0038606151511227926	0.009577378173970329	1.3890163374822764	0.11588411588411589	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C0	S0	normalized_rms_difference	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.20590209690533037	0.12523466853663942	0.1071362613960127	0.18577709891391042	1.64413017027382	0.000999000999000999	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C0	S0	one_minus_pearson_r	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.021143828852199897	0.007863510491492975	0.005762148504200981	0.017396437209963485	2.6888536455917547	0.000999000999000999	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C0	S1	normalized_rms_difference	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.06852104977341447	0.035762671501112814	0.028440156360671175	0.058998398357142504	1.9159936016324264	0.000999000999000999	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C0	S1	one_minus_pearson_r	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.01159455341427007	0.004320496680898178	0.0028190018958035193	0.009166526662006038	2.6836158596144797	0.001998001998001998	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C0	S2	normalized_rms_difference	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.05564676634809959	0.024260453823788303	0.017695607414067588	0.04646828115140447	2.2937232234928686	0.000999000999000999	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C0	S2	one_minus_pearson_r	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.008920338764011215	0.0027897430235537257	0.0016190903788386724	0.007169019726859728	3.197548551496333	0.002997002997002997	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C1	S0	normalized_rms_difference	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.19533521870031662	0.1256356846401623	0.10960191021279936	0.18350055749728708	1.5547749770280892	0.003996003996003996	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C1	S0	one_minus_pearson_r	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.019633855063834305	0.007948672763094411	0.0060095896744188915	0.017359292055114026	2.4700796785840837	0.003996003996003996	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C1	S1	normalized_rms_difference	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.05462917963967143	0.0355028124574798	0.028456868470052295	0.05367304084253511	1.5387282262524542	0.02197802197802198	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C1	S1	one_minus_pearson_r	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.010938761191327306	0.004393349123703982	0.0028925735664253856	0.008763397994363214	2.4898456469821735	0.002997002997002997	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C1	S2	normalized_rms_difference	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.03890219349600074	0.023592452433600173	0.017644339824052967	0.04241082159876632	1.6489253758374252	0.04495504495504495	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C1	S2	one_minus_pearson_r	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.008531680496580929	0.0027844758182513085	0.0016902071090548424	0.006703330822768971	3.0640167318597684	0.002997002997002997	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C2	S0	normalized_rms_difference	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.19224828917353354	0.11906210554035326	0.10682618667772921	0.1800319959635204	1.6146891431243466	0.001998001998001998	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C2	S0	one_minus_pearson_r	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.021428148858134377	0.008099662429135845	0.00650043807781682	0.0189256959857012	2.6455607311551317	0.001998001998001998	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C2	S1	normalized_rms_difference	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.059057866131735894	0.032695955738777496	0.02777784401703956	0.04989468360374756	1.8062743479216634	0.000999000999000999	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C2	S1	one_minus_pearson_r	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.013901452409431303	0.004529890478380927	0.003272704851048136	0.010441638616679887	3.068827486177979	0.000999000999000999	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C2	S2	normalized_rms_difference	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.04677445614813022	0.021890707091885342	0.017055412069704783	0.03730045990718819	2.1367266005522967	0.000999000999000999	sample_composition_calibration_not_causal_QC
Q0_to_Q1	loss_demean	C2	S2	one_minus_pearson_r	Q0_all	Q1_lenient	0	2	1000	PCG64	20260814	0.012333487351512185	0.0029475312628053363	0.0018472106158745477	0.008353472634451187	4.184344881137474	0.000999000999000999	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C0	S0	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.20565856189091944	0.16067469828257128	0.13974673948886945	0.19582199610772938	1.2799685581437166	0.004995004995004995	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C0	S0	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.02180724688387159	0.013067324315696183	0.009784294144970654	0.019408394211177894	1.6688379623116267	0.003996003996003996	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C0	S1	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.059875771824646346	0.04613428482192367	0.03741985802659574	0.06577371208268383	1.2978584594031144	0.06793206793206794	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C0	S1	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.01217219126454594	0.007069160161910337	0.004722748276827238	0.011967185422056558	1.7218723279367012	0.02197802197802198	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C0	S2	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.04223011357640604	0.031277637812144266	0.023388718729870427	0.051205586600299	1.3501695310254287	0.1108891108891109	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C0	S2	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.00855759871036077	0.00456725930491636	0.0028027748609181584	0.00896552580715682	1.8736835679877135	0.03996003996003996	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C1	S0	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.19214360236896005	0.16121407599524368	0.1426923401532233	0.18993239227407038	1.1918537583196451	0.01998001998001998	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C1	S0	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.01886205306415234	0.013076134531524675	0.010159142770774905	0.018138986134173692	1.4424792754065545	0.011988011988011988	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C1	S1	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.05442584297923268	0.04576564261654675	0.03757674120313823	0.0647162495321054	1.1892292966417302	0.13786213786213786	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C1	S1	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.01028680505810975	0.007238756867802787	0.00494012769859137	0.011532716304590435	1.421073430973259	0.07992007992007992	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C1	S2	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.03763788951825314	0.030396590085170656	0.023178886398683256	0.051368719239927696	1.2382273607925265	0.17382617382617382	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C1	S2	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.006872820127753254	0.004603200861686307	0.0028610974852426945	0.00851299414143148	1.4930524072841584	0.1108891108891109	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C2	S0	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.18269099046371584	0.15248825234805852	0.13836457176197836	0.17305925867912916	1.1980659995152858	0.002997002997002997	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C2	S0	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.01943592841293018	0.013334425162080221	0.01089461602196904	0.01719888429614087	1.457575274275873	0.002997002997002997	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C2	S1	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.050190661187931175	0.04241086797562216	0.03618591438025071	0.054728622045396406	1.1834386699366977	0.08491508491508491	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C2	S1	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.010751941751939942	0.007485734735760696	0.005481831792150114	0.011168800875867968	1.4363241727730465	0.03596403596403597	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C2	S2	normalized_rms_difference	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.033187871433118986	0.02818989758381538	0.02205129951273445	0.042260592249944565	1.1772966302713028	0.16383616383616384	sample_composition_calibration_not_causal_QC
Q1_to_Q2	loss_demean	C2	S2	one_minus_pearson_r	Q1_lenient	Q2_strict	0	3	1000	PCG64	20260814	0.006922954923064606	0.004833264556551253	0.0031148196827916115	0.008525268578207207	1.4323558832882177	0.0939060939060939	sample_composition_calibration_not_causal_QC
