analysis	contrast	strategy	metric	estimate	lower_95	upper_95	replicates	seed	threshold	any_threshold_crossing	minimum	maximum
paired_cohort_stratified_bootstrap	gain_demean	ivw	scale_attenuation	0.008930570314126585	0.008099336355691173	0.010972084451985139	1000	20260817			0.007512262027851047	0.012297464599063113
paired_cohort_stratified_bootstrap	gain_demean	ivw	pearson_r	0.440967449956665	0.36579652402262625	0.4280551522055939	1000	20260817			0.3530101835251556	0.4435340214465955
paired_cohort_stratified_bootstrap	gain_demean	ivw	d_raw	0.9039334139965925	0.9078551590789183	0.938087470362055	1000	20260817			0.8923812455076705	0.9424417991486623
paired_cohort_stratified_bootstrap	gain_demean	ivw	edge_enrichment	3.026213522726853	2.703159681166129	3.468204863583415	1000	20260817			2.522466224463722	3.924349703651551
paired_cohort_stratified_bootstrap	gain_demean	ivw	core_ratio	1.000431797188905	0.9979200551968258	1.0025344872494049	1000	20260817			0.9962448133515112	1.004363616788729
paired_cohort_stratified_bootstrap	gain_demean	equal	aggregation_attenuation	-0.02977909248097621	-0.04364523166416924	-0.011296389845353994	1000	20260817			-0.060582991179950474	-0.007806693480339133
paired_cohort_stratified_bootstrap	gain_demean	stabilized	aggregation_attenuation	-1.054526972188441e-06	-1.917150329794337e-06	1.1416138346348467e-06	1000	20260817			-2.652587992590938e-06	1.9512926794362784e-06
leave_one_subject_out	gain_demean	ivw	scale_attenuation	0.008930570314126585			108		0.5	False	0.00873504823889637	0.009197588154546299
leave_one_subject_out	gain_demean	ivw	pearson_r	0.440967449956665			108		0.8	False	0.432489854212795	0.445126078867335
leave_one_subject_out	gain_demean	ivw	edge_enrichment	3.026213522726853			108		2.0	False	2.943285359483351	3.076979974473096
leave_one_subject_out	gain_demean	ivw	core_ratio	1.000431797188905			108		0.75	False	0.9999646225544118	1.001111754407889
leave_one_subject_out	gain_demean	equal	aggregation_attenuation	-0.02977909248097621			108		0.25	False	-0.030891979676093584	-0.020319942113071532
leave_one_subject_out	gain_demean	stabilized	aggregation_attenuation	-1.054526972188441e-06			108		0.25	False	-1.4076298189280578e-06	-6.547470980944325e-07
leave_one_subject_out	gain_demean	ivw	d_raw	0.9039334139965925			108				0.9018477361816827	0.9077501719185251
paired_cohort_stratified_bootstrap	loss_demean	ivw	scale_attenuation	0.006752786176046244	0.00623757029391124	0.011089494297093161	1000	20260817			0.005289548534624378	0.013978910519707233
paired_cohort_stratified_bootstrap	loss_demean	ivw	pearson_r	0.4023931437233257	0.34591529921646524	0.402235269158432	1000	20260817			0.3320415667371248	0.4287140043601906
paired_cohort_stratified_bootstrap	loss_demean	ivw	d_raw	0.9101287453943369	0.9066080841892235	0.9431641437418606	1000	20260817			0.8893788671552798	0.950828784786347
paired_cohort_stratified_bootstrap	loss_demean	ivw	edge_enrichment	2.985364847723497	2.7685111113732965	3.377780467354472	1000	20260817			2.6515353862300692	3.630512737553121
paired_cohort_stratified_bootstrap	loss_demean	ivw	core_ratio	0.9979465885795943	0.9959261945531453	1.0023692681502805	1000	20260817			0.9945665886296843	1.0046718947891702
paired_cohort_stratified_bootstrap	loss_demean	equal	aggregation_attenuation	-0.02983484347246157	-0.03774312924459714	-0.01256758618952122	1000	20260817			-0.047490375600293344	-0.008260423710589881
paired_cohort_stratified_bootstrap	loss_demean	stabilized	aggregation_attenuation	1.1469642812178549e-06	-1.0004107182493005e-06	2.4913911698398713e-06	1000	20260817			-2.526170956640428e-06	3.647052810196172e-06
leave_one_subject_out	loss_demean	ivw	scale_attenuation	0.006752786176046244			108		0.5	False	0.006369198253836306	0.0070685220272868055
leave_one_subject_out	loss_demean	ivw	pearson_r	0.4023931437233257			108		0.8	False	0.3958568220357616	0.4095465665887295
leave_one_subject_out	loss_demean	ivw	edge_enrichment	2.985364847723497			108		2.0	False	2.935714507532299	3.013988880996248
leave_one_subject_out	loss_demean	ivw	core_ratio	0.9979465885795943			108		0.75	False	0.9970874646651592	0.9987726919058494
leave_one_subject_out	loss_demean	equal	aggregation_attenuation	-0.02983484347246157			108		0.25	False	-0.03192779951787683	-0.025476917047464243
leave_one_subject_out	loss_demean	stabilized	aggregation_attenuation	1.1469642812178549e-06			108		0.25	False	7.270499965406074e-07	1.5176446600539961e-06
leave_one_subject_out	loss_demean	ivw	d_raw	0.9101287453943369			108				0.9055549294388442	0.9138952658837994
amplitude_alignment_negative_control	gain_demean	ivw	negative_control_pass	True					r within 1e-12 of 1 and residual_rms <= 1e-10*reference_rms		0.9999999999999996	1.4830958836153766e-16
amplitude_alignment_negative_control	loss_demean	ivw	negative_control_pass	True					r within 1e-12 of 1 and residual_rms <= 1e-10*reference_rms		0.9999999999999999	5.00116525536177e-16
leave_one_subject_out	gain_demean	equal	core_d_raw	0.9275237703568199			108		0.25	False	0.9184726352465422	0.9313351900152627
leave_one_subject_out	gain_demean	equal	core_pearson_r	0.3850567082313539			108		0.8	False	0.3754243237280938	0.40989133735690914
leave_one_subject_out	loss_demean	equal	core_d_raw	0.9316743275890099			108		0.25	False	0.9269115275178759	0.9348747911659921
leave_one_subject_out	loss_demean	equal	core_pearson_r	0.35508356111528283			108		0.8	False	0.3483575392621039	0.36702811970255195
